year,round,category_encoded,institute_type_encoded,actual_closing_rank,predicted_closing_rank,residual,abs_error,pct_error,opening_rank,category_str,institute_type_str,institute_type,category,closing_rank,institute,program,quota,gender,std_dev,admission_probability,ci_lower_5,expected_cutoff_50,ci_upper_95,margin,margin_score,recommendation_score
2025,6,2,2,2918.0,2918,-0.453960968676256,0.453960968676256,0.0155572641767051,2269,OPEN,IIT,IIT,Safe,2918,Indian Institute of Technology Jodhpur,Computer Science and Engineering,AI,Gender-Neutral,100.0,1.0,2753.4015234651447,2922.6626607692947,3082.1712348970823,918,0.3145990404386566,106.29198080877313
2025,6,2,2,2512.0,2512,-0.470785948289631,0.470785948289631,0.0187414788331859,1680,OPEN,IIT,IIT,Safe,2512,Indian Institute of Technology Ropar,Computer Science and Engineering,AI,Gender-Neutral,100.0,1.0,2341.9933164004024,2515.0127672278404,2682.016437323285,512,0.20382165605095542,104.07643312101911
2025,6,2,2,2020.0,2020,-0.4815279973317956,0.4815279973317956,0.0238380196698908,905,OPEN,IIT,IIT,Moderate,2020,Indian Institute of Technology Gandhinagar,Computer Science and Engineering,AI,Gender-Neutral,100.0,0.567,1863.089457718293,2016.5221214610042,2190.638040797773,20,0.009900990099009901,56.89801980198019
2025,6,2,2,1775.0,1775,-0.4908194797171745,0.4908194797171745,0.027651801674207,952,OPEN,IIT,IIT,Ambitious,1775,Indian Institute of Technology Indore,Computer Science and Engineering,AI,Gender-Neutral,100.0,0.012,1612.9512053388391,1783.2183802018824,1938.7819827536541,-225,-0.1267605633802817,-1.335211267605634
2025,6,2,2,1761.0,1762,-0.5814974181084835,0.5814974181084835,0.0330208641742466,1291,OPEN,IIT,IIT,Ambitious,1761,Indian Institute of Technology Delhi,Abu Dhabi Campus - Computer Science and Engineering,AI,Gender-Neutral,100.0,0.009,1592.9652864546501,1757.7151841720065,1925.4516014306573,-238,-0.13507377979568672,-1.8014755959137343
2025,6,2,2,1489.0,1489,-0.4957758285836462,0.4957758285836462,0.0332958917786196,747,OPEN,IIT,IIT,Ambitious,1489,Indian Institute of Technology (BHU) Varanasi,Computer Science and Engineering,AI,Gender-Neutral,100.0,0.0,1324.2212300424019,1486.015367631077,1644.4952111749858,-511,-0.3431833445265279,-6.863666890530558
2025,6,2,2,792.0,793,-0.51923678649473,0.51923678649473,0.0655602003149911,504,OPEN,IIT,IIT,Ambitious,792,Indian Institute of Technology Guwahati,Computer Science and Engineering,AI,Gender-Neutral,100.0,0.0,613.8689942931155,784.1203203738883,955.5685444527533,-1207,-1.5220680958385877,-30.441361916771754
2025,6,2,2,673.0,674,-0.5214911085950007,0.5214911085950007,0.0774875347095097,339,OPEN,IIT,IIT,Ambitious,673,Indian Institute of Technology Hyderabad,Computer Science and Engineering,AI,Gender-Neutral,100.0,0.0,512.0005903829929,676.3729798973509,831.4223260178204,-1326,-1.967359050445104,-39.347181008902076
2025,6,2,2,592.0,593,-0.5172215332331689,0.5172215332331689,0.0873685022353325,275,OPEN,IIT,IIT,Ambitious,592,Indian Institute of Technology Roorkee,Computer Science and Engineering,AI,Gender-Neutral,100.0,0.0,432.4879757707411,599.3956867630031,763.3140285178366,-1407,-2.372681281618887,-47.45362563237774
2025,6,2,2,466.0,467,-0.5186005771993223,0.5186005771993223,0.1112876775105841,238,OPEN,IIT,IIT,Ambitious,466,Indian Institute of Technology Kharagpur,Computer Science and Engineering,AI,Gender-Neutral,100.0,0.0,305.6455366255461,470.0606801079971,641.8175017640249,-1533,-3.2826552462526766,-65.65310492505353
2025,6,2,2,271.0,272,-0.5232303301982029,0.5232303301982029,0.1930739225823627,147,OPEN,IIT,IIT,Ambitious,271,Indian Institute of Technology Kanpur,Computer Science and Engineering,AI,Gender-Neutral,100.0,0.0,119.54675588619462,279.0531568521318,435.8501151139903,-1728,-6.352941176470588,-127.05882352941175
2025,6,2,2,171.0,172,-0.5196445795809268,0.5196445795809268,0.3038857190531736,79,OPEN,IIT,IIT,Ambitious,171,Indian Institute of Technology Madras,Computer Science and Engineering,AI,Gender-Neutral,100.0,0.0,8.733213192007389,171.68974244638912,340.74235907955955,-1828,-10.627906976744185,-212.5581395348837
2025,6,2,2,137.0,138,-0.6842269875705824,0.6842269875705824,0.49943575735079,137,OPEN,IIT,IIT,Ambitious,137,Indian Institute of Technology Mandi,Computer Science and Engineering,AI,Gender-Neutral,100.0,0.0,1.0,138.91805449922418,288.98678245168867,-1862,-13.492753623188406,-269.8550724637681
2025,6,2,2,126.0,127,-0.5028950670821359,0.5028950670821359,0.3991230691128062,24,OPEN,IIT,IIT,Ambitious,126,Indian Institute of Technology Delhi,Computer Science and Engineering,AI,Gender-Neutral,100.0,0.0,1.0,128.37981892856797,293.7064383297897,-1873,-14.748031496062993,-294.96062992125985
2025,6,2,2,66.0,66,-0.4715817299584159,0.4715817299584159,0.7145177726642666,1,OPEN,IIT,IIT,Ambitious,66,Indian Institute of Technology Bombay,Computer Science and Engineering,AI,Gender-Neutral,100.0,0.0,1.0,65.04042049610786,227.78237682747735,-1934,-29.303030303030305,-586.0606060606061
2025,6,1,3,476722.0,476705,17.31768628320424,17.31768628320424,0.0036326593451118,396093,OBC-NCL,NIT,NIT,Safe,476722,National Institute of Technology Sikkim,Electrical and Electronics Engineering,HS,Gender-Neutral,100.0,1.0,476542.66982659634,476701.93718261726,476860.26084656094,461705,0.9685339990140653,119.37067998028131
2025,6,1,3,196257.0,196250,7.411744541022927,7.411744541022927,0.0037765504114619,125750,OBC-NCL,NIT,NIT,Safe,196257,"National Institute of Technology, Manipur",Electronics and Communication Engineering,HS,Gender-Neutral,100.0,1.0,196087.68992049218,196246.44249703933,196407.5711278054,181250,0.9235668789808917,118.47133757961784
2025,6,1,3,172832.0,172825,7.375688987580361,7.375688987580361,0.0042675482477668,160004,OBC-NCL,NIT,NIT,Safe,172832,National Institute of Technology Sikkim,Electronics and Communication Engineering,HS,Gender-Neutral,100.0,1.0,172658.4008843931,172821.8700585171,172993.00876485792,157825,0.913207001301895,118.2641400260379
2025,6,1,3,149441.0,149436,4.581659534451319,4.581659534451319,0.0030658651470823,88752,OBC-NCL,NIT,NIT,Safe,149441,National Institute of Technology Goa,Electrical and Electronics Engineering,STATE,Gender-Neutral,100.0,1.0,149274.45554519474,149444.85867226086,149603.18063637128,134436,0.8996225809041998,117.992451618084
2025,6,1,3,145780.0,145774,5.949892003758578,5.949892003758578,0.0040814185785145,61386,OBC-NCL,NIT,NIT,Safe,145780,"National Institute of Technology, Srinagar",Electronics and Communication Engineering,STATE,Gender-Neutral,100.0,1.0,145615.10853256047,145772.61605898925,145937.78463426858,130774,0.8971009919464377,117.94201983892876
2025,6,1,3,94815.0,94812,2.823273747228086,2.823273747228086,0.0029776657145262,66862,OBC-NCL,NIT,NIT,Safe,94815,National Institute of Technology Goa,Electronics and Communication Engineering,STATE,Gender-Neutral,100.0,1.0,94644.3481978211,94808.35863556227,94966.87012613627,79812,0.8417921782052905,116.83584356410582
2025,6,1,3,50316.0,50316,-0.3824522063878248,0.3824522063878248,0.0007601005771281,36550,OBC-NCL,NIT,NIT,Safe,50316,National Institute of Technology Hamirpur,Electronics and Communication Engineering,HS,Gender-Neutral,100.0,1.0,50144.73125516972,50313.72977638192,50483.11729863613,35316,0.7018840925351777,114.03768185070355
2025,6,1,3,48452.0,48451,1.2577962480427232,1.2577962480427232,0.0025959635268775,39284,OBC-NCL,NIT,NIT,Safe,48452,National Institute of Technology Puducherry,Electrical and Electronics Engineering,HS,Gender-Neutral,100.0,1.0,48287.92934661544,48453.13432217451,48611.76448337003,33451,0.690408866690058,113.80817733380115
2025,6,1,3,40279.0,40278,0.7630282555546728,0.7630282555546728,0.0018943574953565,40279,OBC-NCL,NIT,NIT,Safe,40279,National Institute of Technology Arunachal Pradesh,Electronics and Communication Engineering,HS,Gender-Neutral,100.0,1.0,40092.08445371185,40279.50896660635,40445.13030357145,25278,0.6275882615820051,112.5517652316401
2025,6,1,3,36973.0,36972,0.9695669391658156,0.9695669391658156,0.0026223648044946,28550,OBC-NCL,NIT,NIT,Safe,36973,National Institute of Technology Puducherry,Electronics and Communication Engineering,HS,Gender-Neutral,100.0,1.0,36809.57317015828,36977.377320255604,37132.26829526839,21972,0.5942875689711132,111.88575137942226
