year,round,category_encoded,institute_type_encoded,actual_closing_rank,predicted_closing_rank,residual,abs_error,pct_error
2025,4,1,0,21274.0,21839,-564.5854138224058,564.5854138224058,2.653875217741872
2025,5,1,0,21274.0,21806,-532.4087835314022,532.4087835314022,2.5026266030431614
2025,6,1,0,21274.0,21909,-634.8631453538401,634.8631453538401,2.9842208581077374
2025,1,1,0,17023.0,16634,388.99115946751044,388.99115946751044,2.2850916963373695
2025,2,1,0,18377.0,18106,270.97336227732376,270.97336227732376,1.4745244723149793
2025,3,1,0,18389.0,19020,-630.5381039828717,630.5381039828717,3.4288873999829885
2025,4,1,0,19410.0,18983,427.21732810435424,427.21732810435424,2.2010166311404133
2025,5,1,0,19410.0,19713,-302.84441222436,302.84441222436,1.560249418981762
2025,6,1,0,20538.0,20109,428.612436481395,428.612436481395,2.0869239287242913
2025,1,1,0,65659.0,68363,-2703.5228881072544,2703.5228881072544,4.117520656889771
2025,2,1,0,69071.0,70573,-1501.9425158416416,1501.9425158416416,2.174490764346313
2025,3,1,0,70503.0,71804,-1300.93617394178,1300.93617394178,1.8452210174627746
2025,4,1,0,70503.0,72576,-2073.389617786379,2073.389617786379,2.9408530385747826
2025,5,1,0,70503.0,72569,-2065.874300326046,2065.874300326046,2.930193467407126
2025,6,1,0,70503.0,72976,-2472.643088624347,2472.643088624347,3.5071459209173326
2025,1,1,0,46885.0,47193,-308.35874158248043,308.35874158248043,0.6576916744854013
2025,2,1,0,56970.0,53161,3808.7946864665428,3808.7946864665428,6.685614685740816
2025,3,1,0,58429.0,58934,-505.3791286577325,505.3791286577325,0.8649457095923814
2025,4,1,0,58429.0,59517,-1087.8923710664603,1087.8923710664603,1.8619048264842124
2025,5,1,0,58429.0,59446,-1016.6188641220142,1016.6188641220142,1.7399217240103615
2025,6,1,0,63382.0,60837,2545.477058381439,2545.477058381439,4.016088255942442
2025,1,2,0,44196.0,48008,-3811.7498872870274,3811.7498872870274,8.62464903449866
2025,2,2,0,49476.0,51132,-1655.8438249702303,1655.8438249702303,3.346761712689446
2025,3,2,0,49476.0,51565,-2088.8148295570863,2088.8148295570863,4.221874908151602
2025,4,2,0,49476.0,51423,-1946.5504718478842,1946.5504718478842,3.934332750925467
2025,5,2,0,49476.0,51453,-1977.2307595463062,1977.2307595463062,3.996343195784433
2025,6,2,0,49476.0,51995,-2518.5517533613674,2518.5517533613674,5.090451437790782
2025,1,2,0,45009.0,45124,-115.17491608714772,115.17491608714772,0.25589307935556826
2025,1,2,0,1027.0,1256,-229.13929232804253,229.13929232804253,22.311518240315728
2025,2,2,0,48985.0,47739,1246.3972733989067,1246.3972733989067,2.5444468171867034
2025,2,2,0,1618.0,1671,-52.562647306398276,52.562647306398276,3.2486184985413025
2025,3,2,0,52326.0,48387,3938.868559078379,3938.868559078379,7.527555248018918
2025,3,2,0,1618.0,1668,-50.41200246512835,50.41200246512835,3.1156985454343853
2025,4,2,0,53277.0,48424,4853.290306096227,4853.290306096227,9.109541276904155
2025,4,2,0,1618.0,1668,-50.41200246512835,50.41200246512835,3.1156985454343853
2025,5,2,0,54614.0,48417,6197.317488635912,6197.317488635912,11.34748871834312
2025,5,2,0,1618.0,1668,-50.41200246512835,50.41200246512835,3.1156985454343853
2025,6,2,0,58926.0,48366,10559.512985020148,10559.512985020148,17.919955512032292
2025,6,2,0,1618.0,1669,-50.7226506132763,50.7226506132763,3.134898060153047
2025,1,2,0,58413.0,70253,-11839.791157407424,11839.791157407424,20.26910303769268
2025,2,2,0,115147.0,120506,-5358.820544733055,5358.820544733055,4.6538950599955315
2025,3,2,0,120410.0,124188,-3778.0853932356113,3778.0853932356113,3.1376840737776024
2025,4,2,0,124854.0,127721,-2867.216177549344,2867.216177549344,2.2964552017150788
2025,5,2,0,128240.0,130502,-2262.3565346921823,2262.3565346921823,1.7641582460169856
2025,6,2,0,128714.0,131267,-2553.068869348237,2553.068869348237,1.9835207276195574
2025,1,2,0,84087.0,77536,6551.346289081281,6551.346289081281,7.791152364909297
2025,1,2,0,3099.0,3104,-4.900960497836422,4.900960497836422,0.1581465149350249
2025,2,2,0,87732.0,97832,-10099.831583994688,10099.831583994688,11.512141047730234
2025,2,2,0,3099.0,3106,-6.634201238577589,6.634201238577589,0.21407554819546912
2025,3,2,0,87938.0,98045,-10106.50540343915,10106.50540343915,11.49276240469325
2025,3,2,0,3099.0,3108,-9.014313672439584,9.014313672439584,0.2908781436734296
2025,4,2,0,87938.0,98239,-10301.472857142842,10301.472857142842,11.714472534220521
2025,4,2,0,3099.0,3109,-9.506535894661738,9.506535894661738,0.30676140350634845
2025,5,2,0,88494.0,98239,-9745.472857142842,9745.472857142842,11.012580352501686
2025,5,2,0,3099.0,3109,-9.506535894661738,9.506535894661738,0.30676140350634845
2025,6,2,0,98436.0,99065,-628.8720072751021,628.8720072751021,0.6388638376966781
2025,6,2,0,3099.0,3115,-16.136393698894153,16.136393698894153,0.5206967957048775
2025,1,3,0,8992.0,8518,474.05551115887465,474.05551115887465,5.271969652567556
2025,2,3,0,9658.0,9747,-89.04453014104547,89.04453014104547,0.9219769117938028
2025,3,3,0,10055.0,9957,98.36714816850326,98.36714816850326,0.9782908818349404
2025,4,3,0,10082.0,10238,-155.62270174995683,155.62270174995683,1.543569745585765
2025,5,3,0,10303.0,10266,37.38266173694137,37.38266173694137,0.3628327840137957
2025,6,3,0,10559.0,10470,89.4932200208932,89.4932200208932,0.8475539352295977
2025,1,3,0,11992.0,14741,-2749.1773190635013,2749.1773190635013,22.925094388454813
2025,2,3,0,12197.0,13711,-1514.065136759109,1514.065136759109,12.41342245436672
2025,3,3,0,12197.0,13334,-1137.3759697550176,1137.3759697550176,9.325046894769349
2025,4,3,0,12197.0,13286,-1089.1936649305662,1089.1936649305662,8.930012830454753
2025,5,3,0,12197.0,13284,-1087.1419982639,1087.1419982639,8.913191754233827
2025,6,3,0,16085.0,16624,-539.4822347672707,539.4822347672707,3.3539461284878502
2025,1,3,0,13347.0,13706,-358.9003036497161,358.9003036497161,2.6889960564150455
2025,2,3,0,13772.0,15126,-1353.559309255832,1353.559309255832,9.828342355909323
2025,3,3,0,13772.0,14765,-993.0912975824831,993.0912975824831,7.210944652791775
2025,4,3,0,13772.0,14685,-912.952976923696,912.952976923696,6.629051531540052
2025,5,3,0,13772.0,14678,-905.7785004279667,905.7785004279667,6.576956872117099
2025,6,3,0,14298.0,14713,-415.22300739781895,415.22300739781895,2.9040635571256046
2025,1,4,0,3944.0,4164,-220.11927978066979,220.11927978066979,5.581117641497713
2025,2,4,0,3962.0,4155,-193.20139465683405,193.20139465683405,4.8763602891679465
2025,3,4,0,3962.0,4112,-150.3804686985295,150.3804686985295,3.79556962893815
2025,4,4,0,3962.0,4102,-139.6136105076166,139.6136105076166,3.5238165196268705
2025,5,4,0,3962.0,4102,-139.85791562668874,139.85791562668874,3.5299827265696297
2025,6,4,0,3962.0,4127,-164.82505599796696,164.82505599796696,4.160147804088011
2025,1,4,0,4841.0,5309,-468.42999873207555,468.42999873207555,9.676306522042461
2025,2,4,0,5440.0,5282,158.3518163349354,158.3518163349354,2.9108789767451357
2025,3,4,0,5440.0,5608,-168.41185746999508,168.41185746999508,3.0958062034925566
2025,4,4,0,5440.0,5584,-144.47369293827796,144.47369293827796,2.65576641430658
2025,5,4,0,5792.0,5582,209.75146579188095,209.75146579188095,3.62139961657253
2025,6,4,0,5792.0,5896,-104.32537327358841,104.32537327358841,1.8011977429832255
2025,1,0,0,8126.0,8450,-324.3614348158462,324.3614348158462,3.9916494562619516
2025,2,0,0,9212.0,9018,194.33493680767242,194.33493680767242,2.109584637512727
2025,3,0,0,9513.0,9339,174.22042191447326,174.22042191447326,1.8313930612264613
2025,4,0,0,9513.0,9506,7.118138460606133,7.118138460606133,0.07482538064339464
2025,5,0,0,9513.0,9505,7.758497380897097,7.758497380897097,0.08155678945545146
2025,6,0,0,10088.0,10528,-439.79509940408934,439.79509940408934,4.359586631682091
2025,1,0,0,17225.0,18821,-1596.485188130402,1596.485188130402,9.268419089291159
2025,2,0,0,17736.0,19968,-2231.5896787056263,2231.5896787056263,12.582260254316793
2025,3,0,0,18065.0,19258,-1193.4041535971592,1193.4041535971592,6.606167470784163
